k,label,recall,support
1,dga.bamital,1,31
1,dga.banjori,0.9968671679197995,17556
1,dga.bedep,0.9666666666666667,30
1,dga.beebone,0.75,8
1,dga.chinad,1,9
1,dga.conficker,0.7663272907871865,4027
1,dga.corebot,0.9714285714285714,35
1,dga.cryptolocker,0.9756205673758865,4512
1,dga.cryptowall,0,3
1,dga.dircrypt,0.8333333333333334,24
1,dga.dyre,1,1063
1,dga.fobber,0.9545454545454546,22
1,dga.gameover,0.9979296066252588,483
1,dga.geodo,0.9871794871794872,78
1,dga.goz,1,68
1,dga.hesperbot,0.7142857142857143,7
1,dga.kraken,0.9043927648578811,387
1,dga.locky,0.875,360
1,dga.matsnu,0.9407796101949025,4002
1,dga.murofet,0.9939148073022313,1972
1,dga.necurs,0.9299108515216723,3253
1,dga.newgoz,1,66
1,dga.nymaim,0.7664596273291926,805
1,dga.p2p,1,161
1,dga.padcrypt,0.948051948051948,77
1,dga.post,0.9996596324029953,8814
1,dga.proslikefan,0.75,4
1,dga.pushdo,0.8825878594249201,3756
1,dga.pykspa,0.8466019417475729,1030
1,dga.pykspa_v1,1,1
1,dga.pykspa_v2_fake,0.90625,32
1,dga.pykspa_v2_real,0.8571428571428571,7
1,dga.qadars,0.9242424242424242,66
1,dga.qakbot,0.9688796680497925,2410
1,dga.ramdo,0.9982905982905983,4095
1,dga.ramnit,0.9137276180141074,3686
1,dga.ranbyus,0.9850746268656716,938
1,dga.rovnix,0.9944315545243619,2155
1,dga.shifu,0.8018867924528302,106
1,dga.shiotob/urlzone/bebloh,0.9196078431372549,510
1,dga.simda,0.7971656333038086,1129
1,dga.sisron,1,3
1,dga.suppobox,0.22356495468277945,331
1,dga.symmi,0.95,180
1,dga.tempedreve,0.6,10
1,dga.tinba,0.9871100799175045,7758
1,dga.vawtrak,0.6666666666666666,12
1,dga.virut,0.25366876310272535,477
1,dga.volatile,0.7619047619047619,42
1,dga.zeus,1,39
1,normal.alexa,0.9967235255865139,39982
1,normal.bambenek,0.8536585365853658,123
2,dga.bamital,1,31
2,dga.banjori,0.9997151808601538,17555
2,dga.bedep,0.9666666666666667,30
2,dga.beebone,0.75,8
2,dga.chinad,1,9
2,dga.conficker,0.8346573982125124,4028
2,dga.corebot,1,35
2,dga.cryptolocker,0.9891400709219859,4512
2,dga.cryptowall,0.5,4
2,dga.dircrypt,0.9583333333333334,24
2,dga.dyre,1,1063
2,dga.fobber,0.9545454545454546,22
2,dga.gameover,1,483
2,dga.geodo,0.9871794871794872,78
2,dga.goz,1,69
2,dga.hesperbot,1,8
2,dga.kraken,0.9405684754521964,387
2,dga.locky,0.9141274238227147,361
2,dga.matsnu,0.993503248375812,4002
2,dga.murofet,0.9954361054766734,1972
2,dga.necurs,0.9443419434194342,3252
2,dga.newgoz,1,66
2,dga.nymaim,0.826302729528536,806
2,dga.p2p,1,161
2,dga.padcrypt,0.922077922077922,77
2,dga.post,1,8814
2,dga.proslikefan,0.75,4
2,dga.pushdo,0.9757720979765708,3756
2,dga.pykspa,0.8970873786407767,1030
2,dga.pykspa_v2_fake,0.78125,32
2,dga.pykspa_v2_real,0.8571428571428571,7
