k,metric,value
1,Sensitivity,0.948558006002871
1,Specificity,0.9962847525246229
1,Pos Pred Value,0.9979543363949642
1,Neg Pred Value,0.9102009203152764
1,Precision,0.9979543363949641
1,Recall,0.948558006002871
1,F1,0.9726294098362849
1,Prevalence,0.6564440827515312
1,Detection Rate,0.622675290187176
1,Detection Prevalence,0.6239516854413844
1,Balanced Accuracy,0.9724213792637469
2,Sensitivity,0.96954354464076
2,Specificity,0.9931180650791672
2,Pos Pred Value,0.9962990774511907
2,Neg Pred Value,0.9446434077271542
2,Precision,0.9962990774511907
2,Recall,0.96954354464076
2,F1,0.9827392368229614
2,Prevalence,0.6564558545130591
2,Detection Rate,0.6364625360847703
2,Detection Prevalence,0.6388267845364446
2,Balanced Accuracy,0.9813308048599636
3,Sensitivity,0.9733538638202365
3,Specificity,0.9893030794165316
3,Pos Pred Value,0.9942816011516775
3,Neg Pred Value,0.9510523035620116
3,Precision,0.9942816011516775
3,Recall,0.9733538638202365
3,F1,0.983706438956843
3,Prevalence,0.6564558545130591
3,Detection Rate,0.638963842417701
3,Detection Prevalence,0.6426387068588904
3,Balanced Accuracy,0.9813284716183841
4,Sensitivity,0.972650286415178
4,Specificity,0.9908988904126668
4,Pos Pred Value,0.9951272261234081
4,Neg Pred Value,0.9498996079931159
4,Precision,0.995127226123408
4,Recall,0.972650286415178
4,F1,0.9837603848412662
4,Prevalence,0.6564646828048175
4,Detection Rate,0.6385105617515547
4,Detection Prevalence,0.6416371143204673
4,Balanced Accuracy,0.9817745884139224
5,Sensitivity,0.9634887908761124
5,Specificity,0.9940406433113078
5,Pos Pred Value,0.9967735403307458
5,Neg Pred Value,0.9344177761110068
5,Precision,0.9967735403307458
5,Recall,0.9634887908761124
5,F1,0.9798485823673437
5,Prevalence,0.6564558545130591
5,Detection Rate,0.6324878575283325
5,Detection Prevalence,0.634535159629601
5,Balanced Accuracy,0.9787647170937102
6,Sensitivity,0.9861560542797495
6,Specificity,0.9785069565651024
6,Pos Pred Value,0.9887233291034915
6,Neg Pred Value,0.9736757226150602
6,Precision,0.9887233291034916
6,Recall,0.9861560542797495
6,F1,0.9874380230074274
6,Prevalence,0.6564678875507513
6,Detection Rate,0.647379781748411
6,Detection Prevalence,0.6547633323625649
6,Balanced Accuracy,0.982331505422426
7,Sensitivity,0.9621592703263436
7,Specificity,0.9944397347030369
7,Pos Pred Value,0.9969848566792862
7,Neg Pred Value,0.9322160671294673
7,Precision,0.996984856679286
7,Recall,0.9621592703263436
7,F1,0.9792625351102611
7,Prevalence,0.656459059643833
7,Detection Rate,0.6316181698260281
7,Detection Prevalence,0.6335283485947766
7,Balanced Accuracy,0.9782995025146903
8,Sensitivity,0.9715907607986428
8,Specificity,0.991971075925695
8,Pos Pred Value,0.9956937479103978
8,Neg Pred Value,0.948117254528122
8,Precision,0.9956937479103979
8,Recall,0.9715907607986428
8,F1,0.9834946005746178
8,Prevalence,0.6564440827515312
8,Detection Rate,0.6377950057823275
8,Detection Prevalence,0.6405533901571936
8,Balanced Accuracy,0.9817809183621689
9,Sensitivity,0.9690733756997638
9,Specificity,0.9926443086896896
9,Pos Pred Value,0.9960433488022746
9,Neg Pred Value,0.9438122332859176
9,Precision,0.9960433488022747
9,Recall,0.9690733756997638
9,F1,0.9823732894153753
9,Prevalence,0.6564529116483064
9,Detection Rate,0.6361510390789632
9,Detection Prevalence,0.6386780654114341
9,Balanced Accuracy,0.9808588421947266
10,Sensitivity,0.9828018163787254
10,Specificity,0.9848651074652172
10,Pos Pred Value,0.9920052683569313
10,Neg Pred Value,0.967709532792709
10,Precision,0.9920052683569311
10,Recall,0.9828018163787254
10,F1,0.9873820963417912
10,Prevalence,0.6564561169073684
10,Detection Rate,0.6451662640694865
10,Detection Prevalence,0.6503657638210756
10,Balanced Accuracy,0.9838334619219713
